page;2019-02 pi;2019-02 v;2019-03 pi;2019-03 v;2019-04 pi;2019-04 v;2019-05 pi;2019-05 v;2019-06 pi;2019-06 v;2019-07 pi;2019-07 v;2019-08 pi;2019-08 v;2019-09 pi;2019-09 v;2019-10 pi;2019-10 v;2019-11 pi;2019-11 v;2019-12 pi;2019-12 v;2020-01 pi;2020-01 v;2020-02 pi;2020-02 v;2020-03 pi;2020-03 v;2020-04 pi;2020-04 v;2020-05 pi;2020-05 v;2020-06 pi;2020-06 v;2020-07 pi;2020-07 v;2020-08 pi;2020-08 v;2020-09 pi;2020-09 v;2020-10 pi;2020-10 v;2020-11 pi;2020-11 v;2020-12 pi;2020-12 v;2021-01 pi;2021-01 v;2021-02 pi;2021-02 v;2021-03 pi;2021-03 v;2021-04 pi;2021-04 v;2021-05 pi;2021-05 v;2021-06 pi;2021-06 v;2021-07 pi;2021-07 v;2021-08 pi;2021-08 v;2021-09 pi;2021-09 v;2021-10 pi;2021-10 v;2021-11 pi;2021-11 v;2021-12 pi;2021-12 v;2022-01 pi;2022-01 v;2022-02 pi;2022-02 v;2022-03 pi;2022-03 v;2022-04 pi;2022-04 v;2022-05 pi;2022-05 v;2022-06 pi;2022-06 v;2022-07 pi;2022-07 v;2022-08 pi;2022-08 v;2022-09 pi;2022-09 v;2022-10 pi;2022-10 v
standardlastprofil-wärmepumpe-2011-berlin;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
standardlastprofil-wärmepumpe-2010;1;1;;;3;3;;;2;2;;;;;1;1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;;;;;1;1;;;;;;;1;1;;;;;;;;;;
standardlastprofil-speicherheizung-berlin;;;1;1;;;1;1;;;;;;;;;;;;;5;1;;;;;;;1;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
standardlastprofil-landwirtschaftsbetriebe-2022-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;
standardlastprofil-landwirtschaftsbetriebe-2021-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2;2;2;;;;;;;1;1;;
standardlastprofil-landwirtschaftsbetriebe-2018-berlin;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;
standardlastprofil-landwirtschaftsbetriebe-2017-berlin;;;;;1;1;;;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
standardlastprofil-landwirtschaftsbetriebe-2016-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;2;1;2;2;;;;;;;2;2;;;;;;;;;;;1;1
standardlastprofil-landwirtschaftsbetriebe-2015-berlin;;;;;1;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
standardlastprofil-haushaltskunden-2013-berlin;;;;;2;2;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
standardlastprofil-haushaltskunden-2012-berlin;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
standardlastprofil-haushaltskunden-2011-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
standardlastprofil-haushalt-2022-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;7;6;4;3;2;2;1;1;2;2;2;2;2;2
standardlastprofil-haushalt-2021-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;;;;;;;;;;;1;1;;;;;1;1;;;1;1;5;5
standardlastprofil-haushalt-2020-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;1;1;1;;;;;;;;;;;;;;
standardlastprofil-haushalt-2019-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;2;2;1;1;2;2;;;;;;;;;;;;
standardlastprofil-haushalt-2018-berlin;5;5;11;10;2;2;3;3;2;2;2;2;5;3;8;7;6;6;5;5;4;4;5;4;2;2;3;2;2;2;7;7;1;1;4;2;8;2;1;1;;;;;3;2;1;1;1;1;;;1;1;1;1;;;;;1;1;;;2;2;1;1;4;3;2;2;3;3;4;3;2;2;;;1;1;;;;;3;3;;
standardlastprofil-haushalt-2017-berlin;;;;;1;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;1;1;1;1;3;2;5;5;3;3;2;2;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;
standardlastprofil-haushalt-2016-berlin;8;6;1;1;9;8;1;1;;;;;;;2;2;3;3;1;1;;;5;4;;;;;;;2;2;;;2;2;;;;;;;;;2;1;;;2;2;2;1;;;;;;;;;;;;;1;1;;;;;;;1;1;;;;;1;1;;;;;;;;;;
standardlastprofil-haushalt-2015-berlin;1;1;;;1;1;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
standardlastprofil-haushalt-2014-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
standardlastprofil-gewerbekunden-2013-berlin;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
standardlastprofil-gewerbe-allgemein-2022-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;1;1;;;1;1;;;2;2
standardlastprofil-gewerbe-allgemein-2021-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;3;3;1;1;;;;;;;;;;;;;;;;;;;;;;
standardlastprofil-gewerbe-allgemein-2020-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;
standardlastprofil-gewerbe-allgemein-2018-berlin;1;1;;;;;;;1;1;;;2;2;2;2;1;1;;;;;1;1;;;;;;;;;;;;;;;4;1;;;;;;;;;;;1;1;;;;;1;1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;
standardlastprofil-gewerbe-allgemein-2017-berlin;;;3;3;;;;;1;1;;;;;;;;;;;;;1;1;2;2;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;1;1;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
standardlastprofil-gewerbe-allgemein-2016-berlin;1;1;;;1;1;2;1;;;;;1;1;;;;;;;;;;;;;;;2;2;;;;;1;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;
standardlastprofil-gewerbe-allgemein-2015-berlin;;;1;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
standardlastprofil-gewerbe-allgemein-2014-berlin;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;
standardlastprofil-bandlastkunden-2022-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;1;;;1;1
standardlastprofil-bandlastkunden-2021berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;1;;;1;1;;;;;2;2;;;;;;;;;;;;
standardlastprofil-bandlastkunden-2020-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;
standardlastprofil-bandlastkunden-2019-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;
standardlastprofil-bandlastkunden-2018-berlin;;;;;3;3;2;2;;;2;2;;;;;1;1;;;3;3;;;2;2;;;2;2;;;;;2;2;3;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;
standardlastprofil-bandlastkunden-2017-berlin;;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
standardlastprofil-bandlastkunden-2016-berlin;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
standardlastprofil-bandlastkunden-2015-berlin;;;1;1;;;;;;;;;1;1;;;3;3;2;2;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
standardlastprofil-bandlastkunden-2014-berlin;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
standardeinspeisprofil-bhkw-2021-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;1;1;;;;;;;;
standardeinspeisprofil-bhkw-2020-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;1;1;;;;;1;1;1;1;;;;;;
standardeinspeisprofil-bhkw-2019-berlin;;;4;4;2;2;1;1;1;1;2;2;2;2;3;3;;;;;;;;;1;1;;;2;2;;;2;2;2;1;4;2;;;;;;;;;;;;;1;1;;;;;1;1;;;;;;;1;1;7;7;1;1;2;2;1;1;;;;;;;;;;;1;1;;;;
standardeinspeisprofil-bhkw-2018-berlin;5;5;;;;;1;1;;;;;1;1;;;1;1;;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
standardeinspeisprofil-bhkw-2017-berlin;;;;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
standardeinspeisprofil-bhkw-2016-berlin;4;3;1;1;;;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
standardeinspeisprofil-bhkw-2015-berlin;1;1;;;;;;;1;1;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
standardeinspeisprofil-bhkw-2014-berlin;3;3;;;;;;;2;2;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;1;;;;;;;;;;;;;;
standardeinspeisprofil-bhkw-2013-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
standardeinspeisprofil-bhkw-2012-berlin;1;1;5;4;2;2;3;3;3;3;2;2;;;5;4;;;2;2;2;2;5;5;1;1;1;1;;;3;3;5;4;7;6;12;5;4;3;2;1;;;1;1;;;2;2;;;5;4;2;1;;;;;2;2;;;;;2;2;;;1;1;1;1;;;;;;;;;;;;;;;;
stadtstruktur-flächentypen-differenziert-2015-umweltatlas-wms-3;;;;;;;;;;;;;;;;;2;2;5;5;1;1;;;2;2;;;;;2;2;;;2;2;5;1;1;1;;;1;1;4;4;;;2;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stadtstruktur-flächentypen-differenziert-2015-umweltatlas-wms-2;;;;;1;1;;;1;1;2;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stadtstruktur-flächentypen-differenziert-2015-umweltatlas-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;1;1;1;1;1;1;;;;;;;1;1;;;4;4;;;;;;;1;1;;
stadtstruktur-flächentypen-differenziert-2010-umweltatlas-wms;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;1;1;1;1;1;2;2;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;
stadtstruktur-flächentypen-differenziert-2010-umweltatlas;;;;;3;3;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stadtstruktur-flächentypen-differenziert-2005-umweltatlas-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stadtstruktur-2015-umweltatlas-wms-3;;;;;;;;;;;;;1;1;2;1;7;7;10;10;;;2;2;;;1;1;3;3;1;1;2;2;1;1;2;1;2;2;1;1;;;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stadtstruktur-2015-umweltatlas-wms-2;;;1;1;2;2;;;2;2;2;2;14;14;6;6;;;;;1;1;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stadtstruktur-2015-umweltatlas-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;1;1;;;2;2;;;;;;;;;1;1;;;;;;;;;;;;;1;1;;
stadtstruktur-2010-umweltatlas-wms-1;;;;;;;;;;;;;;;;;;;;;1;1;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stadtstruktur-2010-umweltatlas-wms-0;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stadtstruktur-2010-umweltatlas-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;
stadtstruktur-2005-umweltatlas-wms-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stadtstruktur-2001-umweltatlas-wms-2;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stadtstruktur-2001-umweltatlas-wms-1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stadtstruktur-2001-umweltatlas-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
stadtstruktur-2000-umweltatlas-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
stadtstruktur-1990-umweltatlas-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;
stadtführer-entwicklungspolitik-0;;;1;1;1;1;1;1;;;;;2;1;;;;;14;11;2;2;4;4;3;3;1;1;1;1;;;1;1;;;;;1;1;;;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stadtführer-entwicklungspolitik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;;;1;1;;;1;1;;;1;1;4;4;3;3;;;1;1;;;;;1;1;;;;;1;1;1;1
stadtf;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
stadtentwicklungsplan-industrie-und-gewerbe-konzept-wms-2;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;1;1;;;1;1;;;;;1;1;1;1;2;2;;;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stadtentwicklungsplan-industrie-und-gewerbe-konzept-wms-1;1;1;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stadtentwicklungsplan-industrie-und-gewerbe-konzept-wms;;;;;;;;;1;1;4;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;2;2;2;2;;;;;;;;;1;1;;;;;;;;;1;1;;;;;6;2;1;1
staatliche-dienste-im-inspire-datenmodell-sozialdienst-atom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
staatliche-dienste-im-inspire-datenmodell-polizeidienst-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;4;;;;;;;1;1;2;1;1;1;1;1;;;;;;;;;;;6;4;;;;;;;;;;;;;;;;;;;;;;;;;;
staatliche-dienste-im-inspire-datenmodell-polizeidienst-atom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;1;1;2;2;;;;;1;1;;;;;;;2;2;;;;;;;;;;
städtische-wohnungen-2018-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;1;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;;
städtische-wohnungen-2016-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;1;;;;;;;;;;;;
städtische-wohnungen-2014-wms-0;;;;;;;;;;;;;;;;;1;1;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtische-wohnungen-2014-wms;;;4;4;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtische-wohnungen-2014-lor-wms;;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-grundflächenzahl-grz-2019-umweltatlas-wms;;;;;;;;;;;;;;;;;;;5;4;11;11;17;15;15;12;21;19;16;16;16;16;14;14;17;13;28;10;7;4;15;11;4;4;12;11;15;11;8;8;15;10;19;16;59;48;48;30;10;9;28;23;11;9;19;15;19;17;12;12;30;26;21;13;17;15;15;14;16;16;15;13;7;7;28;26;7;7;7;7
städtebauliche-dichte-grundflächenzahl-grz-2015-umweltatlas-wms-3;;;;;;;;;;;;;5;4;9;8;13;10;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-grundflächenzahl-grz-2015-umweltatlas-wms-2;2;2;8;8;14;12;7;5;9;6;9;8;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-grundflächenzahl-grz-2011-umweltatlas-wms-1;;;;;;;;;;;;;;;4;3;3;3;1;1;5;5;2;2;;;;;2;2;1;1;6;6;7;4;1;1;7;4;;;;;1;1;5;4;4;3;2;2;5;4;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-grundflächenzahl-grz-2011-umweltatlas-wms-0;;;;;;;;;2;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-grundflächenzahl-grz-2011-umweltatlas-wms;2;2;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;4;9;7;1;1;6;5;1;1;3;3;2;2;2;2;5;4;2;2;;;6;6;;;2;2;1;1;2;2;3;3;3;3
städtebauliche-dichte-gfzgrz-2019-umweltatlas-wfs;;;;;;;;;;;;;;;;;;;6;6;40;34;61;58;47;45;47;44;47;41;62;53;39;36;59;41;106;47;48;21;16;15;14;14;16;16;35;32;29;26;32;28;78;58;57;48;37;28;44;38;61;53;40;36;60;50;40;37;56;50;65;57;58;49;64;58;49;45;55;48;46;44;31;25;64;53;35;34;45;40
städtebauliche-dichte-gfzgrz-2015-umweltatlas-wfs;;;;;;;;;;;;;18;14;21;19;29;26;46;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-gfzgrz-2015-umweltatlas;11;10;27;25;11;11;22;19;29;28;31;30;15;13;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-gfzgrz-2011-umweltatlas-wfs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2;2;2;2;2;4;2;4;4;3;3;2;2;6;6;1;1;3;3;7;7;;;1;1;2;2;;;;
städtebauliche-dichte-geschossflächenzahl-gfz-2019-umweltatlas-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;3;;;1;1;;;2;2;2;2;4;4;;;9;7;3;3;;;1;1;5;4;1;1;2;2;3;3;7;6;6;6;2;2;7;7;2;2;3;3;3;3;3;3;1;1;1;1
städtebauliche-dichte-geschossflächenzahl-gfz-2019-plr-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;11;10;3;3;6;4;1;1;2;2;3;3;;;1;1;4;4;2;2;;;;;;;1;1;1;1
städtebauliche-dichte-geschossflächenzahl-gfz-2019-plr-wfs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;6;6;5;2;1;1;10;8;2;2;5;5;4;4;1;1;8;8;8;8;;;1;1;5;3;3;2;2;2
städtebauliche-dichte-geschossflächenzahl-gfz-2015-umweltatlas-wms-3;;;;;;;;;;;;;;;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-geschossflächenzahl-gfz-2015-umweltatlas-wms-2;3;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-geschossflächenzahl-gfz-2015-umweltatlas-wms;;;9;8;3;3;1;1;1;1;1;1;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-geschossflächenzahl-gfz-2015-lor-wms-2;;;;;;;;;;;;;4;4;;;1;1;;;1;1;;;1;1;;;2;2;1;1;3;3;1;1;;;2;1;;;;;;;1;1;;;;;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-geschossflächenzahl-gfz-2015-lor-wms-1;3;3;6;5;2;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-geschossflächenzahl-gfz-2015-lor-wms;;;;;;;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-geschossflächenzahl-gfz-2015-lor-wfs;;;;;;;;;;;;;1;1;5;5;4;4;1;1;1;1;;;2;2;;;;;;;1;1;1;1;10;5;1;1;1;1;;;1;1;1;1;;;;;;;1;1;2;2;1;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;1;1;;
